data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
2005-08-03,SE/CO,694,2.055,146.009,,,
2005-08-03,S,186,546,39.447,,,
2005-08-03,NE,158,471,34.067,,,
2005-08-03,N,75,225,15.726,,,
2005-08-03,SIN,1.113,3.298,235.250,,,
2005-08-04,SE/CO,698,2.753,146.707,,,
2005-08-04,S,187,733,39.634,,,
2005-08-04,NE,161,632,34.228,,,
2005-08-04,N,76,301,15.802,,,
2005-08-04,SIN,1.121,4.419,236.372,,,
2005-08-05,SE/CO,701,3.455,147.409,,,
2005-08-05,S,187,920,39.821,,,
2005-08-05,NE,159,791,34.388,,,
2005-08-05,N,75,376,15.877,,,
2005-08-05,SIN,1.123,5.543,237.495,,,
2005-08-06,SE/CO,648,4.103,148.057,,,
2005-08-06,S,162,1.082,39.983,,,
2005-08-06,NE,151,943,34.539,,,
2005-08-06,N,74,451,15.952,,,
2005-08-06,SIN,1.036,6.579,238.531,,,
2005-08-07,SE/CO,578,4.681,148.635,,,
2005-08-07,S,133,1.216,40.117,,,
2005-08-07,NE,139,1.081,34.678,,,
2005-08-07,N,71,522,16.023,,,
2005-08-07,SIN,922,7.501,239.453,,,
2005-08-08,SE/CO,685,5.367,149.321,,,
2005-08-08,S,179,1.395,40.296,,,
2005-08-08,NE,156,1.237,34.833,,,
2005-08-08,N,77,599,16.100,,,
2005-08-08,SIN,1.097,8.597,240.549,,,
2005-08-09,SE/CO,699,6.066,150.020,,,
2005-08-09,S,184,1.579,40.479,,,
2005-08-09,NE,161,1.398,34.994,,,
2005-08-09,N,77,675,16.176,,,
2005-08-09,SIN,1.120,9.717,241.669,,,
2005-08-10,SE/CO,692,6.758,150.712,,,
2005-08-10,S,182,1.760,40.661,,,
2005-08-10,NE,163,1.561,35.157,,,
2005-08-10,N,76,751,16.252,,,
2005-08-10,SIN,1.113,10.830,242.783,,,
2005-08-11,SE/CO,692,7.450,151.404,,,
2005-08-11,S,185,1.945,40.846,,,
2005-08-11,NE,164,1.724,35.321,,,
2005-08-11,N,75,827,16.328,,,
2005-08-11,SIN,1.116,11.946,243.898,,,
2005-08-12,SE/CO,696,8.146,152.102,,,
2005-08-12,S,183,2.128,41.038,,,
2005-08-12,NE,162,1.887,35.483,,,
2005-08-12,N,76,903,16.404,,,
2005-08-12,SIN,1.118,13.064,245.026,,,
2005-08-13,SE/CO,646,8.792,152.747,,,
2005-08-13,S,159,2.287,41.197,,,
