tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-02-01,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-01,Nordeste,"70,59","70,59","2.342,39",,,
Eolica,2017-02-01,Sul,"16,77","16,77","398,61",,,
Eolica,2017-02-01,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-01,Sistema Interligado Nacional,"87,36","87,36","2.741,00",,,
Eolica,2017-02-02,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-02,Nordeste,"65,03","135,61","2.407,41",,,
Eolica,2017-02-02,Sul,"6,82","23,60","405,43",,,
Eolica,2017-02-02,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-02,Sistema Interligado Nacional,"71,85","159,21","2.812,85",,,
Eolica,2017-02-03,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-03,Nordeste,"67,32","202,93","2.474,73",,,
Eolica,2017-02-03,Sul,"2,84","26,44","408,28",,,
Eolica,2017-02-03,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-03,Sistema Interligado Nacional,"70,16","229,37","2.883,01",,,
Eolica,2017-02-04,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-04,Nordeste,"75,52","278,45","2.550,25",,,
Eolica,2017-02-04,Sul,"7,59","34,02","415,86",,,
Eolica,2017-02-04,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-04,Sistema Interligado Nacional,"83,11","312,48","2.966,12",,,
Eolica,2017-02-05,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-05,Nordeste,"69,43","347,89","2.619,69",,,
Eolica,2017-02-05,Sul,"19,95","53,97","435,81",,,
Eolica,2017-02-05,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-05,Sistema Interligado Nacional,"89,38","401,86","3.055,50",,,
Eolica,2017-02-06,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-06,Nordeste,"63,75","411,64","2.683,44",,,
Eolica,2017-02-06,Sul,"25,05","79,03","460,87",,,
Eolica,2017-02-06,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-06,Sistema Interligado Nacional,"88,81","490,67","3.144,31",,,
Eolica,2017-02-07,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-07,Nordeste,"50,71","462,35","2.734,15",,,
Eolica,2017-02-07,Sul,"7,29","86,32","468,16",,,
Eolica,2017-02-07,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-07,Sistema Interligado Nacional,"58,00","548,67","3.202,31",,,
Eolica,2017-02-08,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-08,Nordeste,"36,90","499,25","2.771,05",,,
Eolica,2017-02-08,Sul,"11,06","97,38","479,22",,,
Eolica,2017-02-08,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-08,Sistema Interligado Nacional,"47,96","596,63","3.250,27",,,
Eolica,2017-02-09,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-09,Nordeste,"44,46","543,71","2.815,51",,,
Eolica,2017-02-09,Sul,"26,54","123,92","505,76",,,
Eolica,2017-02-09,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-09,Sistema Interligado Nacional,"71,00","667,63","3.321,27",,,
Eolica,2017-02-10,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-10,Nordeste,"58,76","602,48","2.874,28",,,
Eolica,2017-02-10,Sul,"21,07","144,99","526,83",,,
Eolica,2017-02-10,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-10,Sistema Interligado Nacional,"79,83","747,47","3.401,11",,,
Eolica,2017-02-11,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-11,Nordeste,"48,15","650,62","2.922,42",,,
Eolica,2017-02-11,Sul,"10,34","155,33","537,17",,,
Eolica,2017-02-11,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-11,Sistema Interligado Nacional,"58,49","805,95","3.459,59",,,
Eolica,2017-02-12,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-12,Nordeste,"47,15","697,78","2.969,58",,,
Eolica,2017-02-12,Sul,"13,11","168,44","550,28",,,
Eolica,2017-02-12,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-12,Sistema Interligado Nacional,"60,26","866,21","3.519,85",,,
Eolica,2017-02-13,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-13,Nordeste,"71,06","768,84","3.040,64",,,
Eolica,2017-02-13,Sul,"7,84","176,27","558,11",,,
Eolica,2017-02-13,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-13,Sistema Interligado Nacional,"78,90","945,11","3.598,75",,,
Eolica,2017-02-14,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-14,Nordeste,"84,04","852,88","3.124,68",,,
Eolica,2017-02-14,Sul,"14,00","190,27","572,11",,,
Eolica,2017-02-14,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-14,Sistema Interligado Nacional,"98,04","1.043,15","3.696,79",,,
Eolica,2017-02-15,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-15,Nordeste,"96,25","949,13","3.220,93",,,
Eolica,2017-02-15,Sul,"7,70","197,97","579,81",,,
Eolica,2017-02-15,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-15,Sistema Interligado Nacional,"103,95","1.147,10","3.800,74",,,
Eolica,2017-02-16,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-16,Nordeste,"76,30","1.025,43","3.297,23",,,
Eolica,2017-02-16,Sul,"5,30","203,28","585,12",,,
Eolica,2017-02-16,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-02-16,Sistema Interligado Nacional,"81,60","1.228,70","3.882,34",,,
Eolica,2017-02-17,Norte,"0,00","0,00","0,00",,,
Eolica,2017-02-17,Nordeste,"58,12","1.083,54","3.355,35",,,
Eolica,2017-02-17,Sul,"9,42","212,69","594,53",,,
Eolica,2017-02-17,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
