tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Hidraulica,2017-02-01,Norte,"176,19","176,19","4.146,88",,,
Hidraulica,2017-02-01,Nordeste,"51,53","51,53","1.762,49",,,
Hidraulica,2017-02-01,Sul,"274,84","274,84","8.512,08",,,
Hidraulica,2017-02-01,Sudeste/Centro-Oeste,"606,33","606,33","18.960,39",,,
Hidraulica,2017-02-01,Itaipu,"277,60","277,60","7.701,59",,,
Hidraulica,2017-02-02,Norte,"198,95","375,13","4.345,82",,,
Hidraulica,2017-02-02,Nordeste,"51,14","102,67","1.813,63",,,
Hidraulica,2017-02-02,Sul,"275,35","550,18","8.787,42",,,
Hidraulica,2017-02-02,Sudeste/Centro-Oeste,"597,73","1.204,06","19.558,12",,,
Hidraulica,2017-02-02,Itaipu,"274,13","551,73","7.975,73",,,
Hidraulica,2017-02-03,Norte,"195,76","570,89","4.541,58",,,
Hidraulica,2017-02-03,Nordeste,"51,73","154,40","1.865,36",,,
Hidraulica,2017-02-03,Sul,"280,82","831,00","9.068,24",,,
Hidraulica,2017-02-03,Sudeste/Centro-Oeste,"607,56","1.811,62","20.165,68",,,
Hidraulica,2017-02-03,Itaipu,"258,90","810,64","8.234,63",,,
Hidraulica,2017-02-04,Norte,"184,18","755,07","4.725,76",,,
Hidraulica,2017-02-04,Nordeste,"50,19","204,59","1.915,55",,,
Hidraulica,2017-02-04,Sul,"232,47","1.063,47","9.300,71",,,
Hidraulica,2017-02-04,Sudeste/Centro-Oeste,"536,40","2.348,01","20.702,08",,,
Hidraulica,2017-02-04,Itaipu,"258,36","1.069,00","8.492,99",,,
Hidraulica,2017-02-05,Norte,"149,30","904,37","4.875,06",,,
Hidraulica,2017-02-05,Nordeste,"49,28","253,86","1.964,82",,,
Hidraulica,2017-02-05,Sul,"149,62","1.213,09","9.450,33",,,
Hidraulica,2017-02-05,Sudeste/Centro-Oeste,"499,88","2.847,89","21.201,95",,,
Hidraulica,2017-02-05,Itaipu,"266,09","1.335,08","8.759,08",,,
Hidraulica,2017-02-06,Norte,"192,81","1.097,17","5.067,86",,,
