tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2017-02-01,Norte,"27,10","27,10","961,93",,,
Termica,2017-02-01,Nordeste,"61,61","61,61","2.067,35",,,
Termica,2017-02-01,Sul,"17,66","17,66","567,70",,,
Termica,2017-02-01,Sudeste/Centro-Oeste,"123,33","123,33","3.803,77",,,
Termica,2017-02-01,Sistema Interligado Nacional,"229,69","229,69","7.400,74",,,
Termica,2017-02-02,Norte,"27,20","54,30","989,13",,,
Termica,2017-02-02,Nordeste,"64,04","125,65","2.131,39",,,
Termica,2017-02-02,Sul,"17,57","35,23","585,27",,,
Termica,2017-02-02,Sudeste/Centro-Oeste,"107,91","231,24","3.911,68",,,
Termica,2017-02-02,Sistema Interligado Nacional,"216,74","446,43","7.617,48",,,
Termica,2017-02-03,Norte,"26,69","80,99","1.015,82",,,
Termica,2017-02-03,Nordeste,"60,64","186,29","2.192,03",,,
Termica,2017-02-03,Sul,"18,26","53,49","603,53",,,
Termica,2017-02-03,Sudeste/Centro-Oeste,"111,35","342,59","4.023,03",,,
Termica,2017-02-03,Sistema Interligado Nacional,"216,94","663,37","7.834,41",,,
Termica,2017-02-04,Norte,"26,66","107,65","1.042,47",,,
Termica,2017-02-04,Nordeste,"60,83","247,12","2.252,86",,,
Termica,2017-02-04,Sul,"18,30","71,80","621,84",,,
Termica,2017-02-04,Sudeste/Centro-Oeste,"101,51","444,11","4.124,55",,,
Termica,2017-02-04,Sistema Interligado Nacional,"207,30","870,67","8.041,72",,,
Termica,2017-02-05,Norte,"29,01","136,66","1.071,48",,,
Termica,2017-02-05,Nordeste,"63,93","311,05","2.316,79",,,
Termica,2017-02-05,Sul,"19,34","91,14","641,18",,,
Termica,2017-02-05,Sudeste/Centro-Oeste,"100,46","544,56","4.225,00",,,
Termica,2017-02-05,Sistema Interligado Nacional,"212,73","1.083,40","8.254,45",,,
Termica,2017-02-06,Norte,"26,30","162,96","1.097,79",,,
Termica,2017-02-06,Nordeste,"67,71","378,76","2.384,49",,,
Termica,2017-02-06,Sul,"20,50","111,64","661,68",,,
Termica,2017-02-06,Sudeste/Centro-Oeste,"101,46","646,03","4.326,47",,,
Termica,2017-02-06,Sistema Interligado Nacional,"215,97","1.299,38","8.470,42",,,
Termica,2017-02-07,Norte,"25,44","188,40","1.123,23",,,
Termica,2017-02-07,Nordeste,"72,52","451,27","2.457,01",,,
Termica,2017-02-07,Sul,"18,15","129,79","679,83",,,
Termica,2017-02-07,Sudeste/Centro-Oeste,"102,75","748,77","4.429,21",,,
Termica,2017-02-07,Sistema Interligado Nacional,"218,86","1.518,23","8.689,28",,,
Termica,2017-02-08,Norte,"25,73","214,13","1.148,95",,,
Termica,2017-02-08,Nordeste,"86,17","537,44","2.543,18",,,
Termica,2017-02-08,Sul,"19,43","149,22","699,26",,,
Termica,2017-02-08,Sudeste/Centro-Oeste,"82,63","831,40","4.511,84",,,
Termica,2017-02-08,Sistema Interligado Nacional,"213,96","1.732,19","8.903,24",,,
Termica,2017-02-09,Norte,"26,93","241,06","1.175,89",,,
Termica,2017-02-09,Nordeste,"90,13","627,56","2.633,30",,,
Termica,2017-02-09,Sul,"18,97","168,20","718,24",,,
Termica,2017-02-09,Sudeste/Centro-Oeste,"95,01","926,41","4.606,85",,,
Termica,2017-02-09,Sistema Interligado Nacional,"231,04","1.963,23","9.134,28",,,
Termica,2017-02-10,Norte,"27,04","268,10","1.202,93",,,
Termica,2017-02-10,Nordeste,"80,28","707,84","2.713,58",,,
Termica,2017-02-10,Sul,"17,67","185,87","735,91",,,
Termica,2017-02-10,Sudeste/Centro-Oeste,"103,52","1.029,93","4.710,37",,,
Termica,2017-02-10,Sistema Interligado Nacional,"228,51","2.191,74","9.362,79",,,
Termica,2017-02-11,Norte,"26,98","295,08","1.229,91",,,
