tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2005-12-29,SE/CO,31,1.130,18.863,,,
Termica,2005-12-29,S,32,882,8.707,,,
Termica,2005-12-29,NE,6,131,2.548,,,
Termica,2005-12-29,N,0,0,0,,,
Termica,2005-12-29,SIN,69,2.142,30.118,,,
Termica,2005-12-30,SE/CO,34,1.163,18.897,,,
Termica,2005-12-30,S,32,913,8.738,,,
Termica,2005-12-30,NE,6,137,2.554,,,
Termica,2005-12-30,N,0,0,0,,,
Termica,2005-12-30,SIN,72,2.214,30.190,,,
Termica,2005-12-31,SE/CO,38,1.202,18.935,,,
Termica,2005-12-31,S,26,939,8.765,,,
Termica,2005-12-31,NE,6,144,2.560,,,
Termica,2005-12-31,N,0,0,0,,,
Termica,2005-12-31,SIN,71,2.285,30.261,,,
Termica,2006-01-01,SE/CO,24,24,24,,,
Termica,2006-01-01,S,27,27,27,,,
Termica,2006-01-01,NE,0,0,0,,,
Termica,2006-01-01,N,0,0,0,,,
Termica,2006-01-01,SIN,51,51,51,,,
Termica,2006-01-02,SE/CO,32,56,56,,,
Termica,2006-01-02,S,29,56,56,,,
Termica,2006-01-02,NE,2,3,3,,,
Termica,2006-01-02,N,0,0,0,,,
Termica,2006-01-02,SIN,64,115,115,,,
Termica,2006-01-03,SE/CO,32,88,88,,,
Termica,2006-01-03,S,29,84,84,,,
Termica,2006-01-03,NE,6,9,9,,,
Termica,2006-01-03,N,0,0,0,,,
Termica,2006-01-03,SIN,67,182,182,,,
Termica,2006-01-04,SE/CO,32,120,120,,,
Termica,2006-01-04,S,30,114,114,,,
Termica,2006-01-04,NE,3,12,12,,,
Termica,2006-01-04,N,0,0,0,,,
Termica,2006-01-04,SIN,65,247,247,,,
Termica,2006-01-05,SE/CO,35,155,155,,,
Termica,2006-01-05,S,29,143,143,,,
Termica,2006-01-05,NE,4,16,16,,,
Termica,2006-01-05,N,0,0,0,,,
Termica,2006-01-05,SIN,67,314,314,,,
Termica,2006-01-06,SE/CO,35,189,189,,,
Termica,2006-01-06,S,31,174,174,,,
Termica,2006-01-06,NE,6,23,23,,,
Termica,2006-01-06,N,0,0,0,,,
Termica,2006-01-06,SIN,73,386,386,,,
Termica,2006-01-07,SE/CO,34,223,223,,,
Termica,2006-01-07,S,34,208,208,,,
Termica,2006-01-07,NE,6,29,29,,,
Termica,2006-01-07,N,0,0,0,,,
Termica,2006-01-07,SIN,74,460,460,,,
Termica,2006-01-08,SE/CO,32,255,255,,,
Termica,2006-01-08,S,34,242,242,,,
Termica,2006-01-08,NE,6,35,35,,,
Termica,2006-01-08,N,0,0,0,,,
Termica,2006-01-08,SIN,72,532,532,,,
Termica,2006-01-09,SE/CO,32,287,287,,,
Termica,2006-01-09,S,30,272,272,,,
